name,district,address,phone,latitude,longitude,media
Fatih 7 No'lu Aile Sağlığı Merkezi,Fatih,"Ayık Sokağı, Şehremini Mahallesi",,41.0140399,28.9300317,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Nazier Soyak Aile Sağlığı Merkezi,Üsküdar,Ünalan Mahallesi,,41.0008695,29.0699207,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kartal 8 Nolu Aile Sağlığı Merkezi,Kartal,"Bulut Sokağı, Esentepe Mahallesi",,40.902112,29.1915456,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Müşerref - Sabri Köseoğlu Aile Sağlığı Merkezi,Bağcılar,"412. Sokak, İnönü Mahallesi",,41.0311574,28.8499549,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Büyükçekmece Merkez Aile Sağlığı Merkezi,Büyükçekmece,"D-100 Kuzey Yanyolu, Dizdariye Mahallesi",,41.0201914,28.5794739,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Zümrütevler 2 Nolu Aile Sağlığı Merkezi,Maltepe,"Zambak Sokağı, Zümrütevler Mahallesi",,40.9347353,29.1507706,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Duydu Özyurt Aile Sağlığı Merkezi,Bağcılar,"1031. Sokak, Barbaros Hayrettin Paşa Mahallesi",,41.0742587,28.8888709,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Siyavuşpaşa Aile Sağlığı Merkezi,Bahçelievler,"Barbaros Caddesi, Şirinevler Mahallesi",,40.9994877,28.8520402,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Hekimbaşı Ömer Aile Sağlığı Merkezi,Bahçelievler,"Nevruz Sokağı, Soğanlı Mahallesi",,41.0110242,28.8554591,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Bahçelievler 9 Nolu Aile Sağlığı Merkezi,Bahçelievler,"Kaman Sokağı, Şirinevler Mahallesi",,41.0036619,28.8519273,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Bahçelievler 5 Nolu Aile Sağlığı Merkezi,Bahçelievler,Kaya Sokak,,41.0122001,28.8552668,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kazım Karabekir Aile Sağlığı Merkezi,Bağcılar,"Kazım Karabekir Caddesi, Kazım Karabekir Mahallesi",,41.0466219,28.8719064,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
Kemer Aile Sağlığı Merkezi,Bağcılar,"939. Sokak, Kemer Mahallesi",,41.0529312,28.8784659,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/HealthcareProviders.png/320px-HealthcareProviders.png
